# Sampling station data to accompany: Carbon isotopic fractionation in organic matter production consistent with benthic community composition across a coral reef flat
# Contact the corresponding author David A. Koweek with any questions (dkoweek@carnegiescience.edu)
# Variable descriptions:
# Line = Front (F); Middle (M); or Back (B) line
# Line_Position = Position of each sample on each line referenced from the center of each line (meters; negative values are south of the midpoint)
# d13C_DIC = Stable isotopic composition of DIC (relative to VPDB standard)
# TA = Total alkalinity (umol/kg)
# DIC = Dissolved inorganic carbon (umol/kg)
# ============================================================
Sample_Date,Line,Line_Position,d13C_DIC,TA,DIC
2016-09-18,B,-3,0.77,2268,1972
2016-09-18,B,-2,0.75,2270,1973
2016-09-18,B,-1,0.71,2266,1971
2016-09-18,B,0,0.77,2265,1971
2016-09-18,B,1,0.87,2261,1964
2016-09-18,B,2,0.78,2263,1964
2016-09-18,B,3,0.81,2262,1963
2016-09-18,B,5,0.79,2257,1952
2016-09-18,B,7,0.83,2251,1944
2016-09-18,B,10,0.8,2253,1943
2016-09-18,B,16,0.95,2247,1930
2016-09-18,F,-16,0.56,2295,2008
2016-09-18,F,-4,0.66,2294,2003
2016-09-18,F,-2,0.68,2291,2e3
2016-09-18,F,-0.5,0.54,2291,2e3
2016-09-18,F,0,0.64,2293,2002
2016-09-18,F,0.5,0.38,2295,2004
2016-09-18,F,1.5,0.55,2289,1999
2016-09-18,F,4,0.58,2290,1999
2016-09-18,F,16,0.67,2284,1990
2016-09-18,M,-16,0.49,2281,1985
2016-09-18,M,-8,0.61,2282,1986
2016-09-18,M,-4,0.72,2280,1985
2016-09-18,M,-2,0.58,2279,1982
2016-09-18,M,-1,0.6,2279,1983
2016-09-18,M,0,0.89,2278,1980
2016-09-18,M,1,0.89,2273,1972
2016-09-18,M,2,0.79,2271,1968
2016-09-18,M,4,0.84,2268,1966
2016-09-18,M,8,0.83,2268,1965
2016-09-18,M,16,-0,2278,1978
2016-09-24,B,-16,0.54,2232,1890
2016-09-24,B,-10,1,2224,1873
2016-09-24,B,-7,0.55,2225,1879
2016-09-24,B,-5,0.76,2224,1875
2016-09-24,B,-3,0.58,2217,1865
2016-09-24,B,-2,0.85,2222,1873
2016-09-24,B,-1,0.44,2216,1861
2016-09-24,B,0,0.58,2212,1846
2016-09-24,B,1,0.25,2209,1837
2016-09-24,B,2,0.39,2211,1844
2016-09-24,B,3,0.62,2211,1847
2016-09-24,B,5,0.86,2212,1848
2016-09-24,B,7,1.18,2197,1816
2016-09-24,B,10,1.18,2191,1802
2016-09-24,B,16,0.93,2205,1833
2016-09-24,F,-16,0.23,2259,1986
2016-09-24,F,-4,0.52,2253,1967
2016-09-24,F,-2,0.6,2240,1945
2016-09-24,F,0,0.5,2256,1978
2016-09-24,F,0.5,0.42,2258,1979
2016-09-24,F,1.5,0.34,2235,1929
2016-09-24,F,4,0.46,2258,1979
2016-09-24,F,16,-1.31,2227,1909
2016-09-24,M,-16,0.24,2246,1935
2016-09-24,M,-8,0.59,2242,1930
2016-09-24,M,-4,0.23,2239,1932
2016-09-24,M,-2,0.08,2237,1914
2016-09-24,M,-1,0.04,2235,1912
2016-09-24,M,0,0.7,2232,1901
2016-09-24,M,1,0.82,2234,1905
2016-09-24,M,2,0.28,2235,1910
2016-09-24,M,4,0.65,2231,1904
2016-09-24,M,8,0.62,2220,1870
2016-09-24,M,16,0.84,2234,1906
2016-09-27,B,-16,0.58,2241,1872
2016-09-27,B,-10,0.64,2233,1854
2016-09-27,B,-7,0.63,2234,1860
2016-09-27,B,-5,1.07,2235,1858
2016-09-27,B,-2,0.55,2232,1855
2016-09-27,B,-1,0.92,2227,1843
2016-09-27,B,0,0.83,2222,1825
2016-09-27,B,1,0.9,2219,1819
2016-09-27,B,2,1.07,2220,1822
2016-09-27,B,3,1.09,2221,1825
2016-09-27,B,5,1.09,2221,1828
2016-09-27,B,7,0.64,2204,1786
2016-09-27,B,10,0.72,2199,1779
2016-09-27,B,16,0.65,2208,1801
2016-09-27,F,-16,-0.82,2274,1978
2016-09-27,F,-4,-0.1,2267,1960
2016-09-27,F,-2,0.83,2256,1940
2016-09-27,F,-0.5,-0.29,2271,1972
2016-09-27,F,0,-0.43,2262,1963
2016-09-27,F,0.5,-0.2,2273,1976
2016-09-27,F,1.5,-0.26,2265,1956
2016-09-27,F,4,0.24,2272,1972
2016-09-27,F,16,0.87,2250,1908
2016-09-27,M,-16,0.01,2259,1924
2016-09-27,M,-8,-0.27,2255,1919
2016-09-27,M,-4,0.18,2252,1915
2016-09-27,M,-2,0.76,2250,1901
2016-09-27,M,-1,0.48,2249,1899
2016-09-27,M,0,0.93,2244,1887
2016-09-27,M,1,0.99,2249,1893
2016-09-27,M,2,0.86,2249,1896
2016-09-27,M,4,0.77,2243,1887
2016-09-27,M,8,-0.29,2232,1852
2016-09-27,M,16,0.49,2246,1890
2016-09-30,B,-16,0.95,2265,1908
2016-09-30,B,-10,0.67,2264,1902
2016-09-30,B,-7,0.97,2265,1907
2016-09-30,B,-5,1,2261,1901
2016-09-30,B,-3,0.52,2258,1895
2016-09-30,B,-2,0.68,2261,1900
2016-09-30,B,-1,0.78,2255,1894
2016-09-30,B,0,0.01,2252,1882
2016-09-30,B,1,0.76,2250,1876
2016-09-30,B,2,0.47,2252,1878
2016-09-30,B,3,0.67,2248,1875
2016-09-30,B,5,0.83,2246,1867
2016-09-30,B,7,0.66,2240,1852
2016-09-30,B,10,1.15,2226,1822
2016-09-30,B,16,1.22,2237,1846
2016-09-30,F,-16,0.93,2293,1988
2016-09-30,F,-4,0.31,2291,1984
2016-09-30,F,-2,0.63,2284,1970
2016-09-30,F,-0.5,0.08,2293,1991
2016-09-30,F,0,0.35,2295,1995
2016-09-30,F,0.5,0.28,2293,1989
2016-09-30,F,1.5,0.67,2284,1966
2016-09-30,F,4,0.04,2289,1983
2016-09-30,F,16,0.71,2263,1924
2016-09-30,M,-16,0.89,2278,1945
2016-09-30,M,-8,0.65,2280,1951
2016-09-30,M,-4,0.65,2274,1942
2016-09-30,M,-2,0.79,2272,1934
2016-09-30,M,-1,0.52,2269,1925
2016-09-30,M,0,0.75,2263,1913
2016-09-30,M,1,0.45,2265,1915
2016-09-30,M,2,0.94,2266,1915
2016-09-30,M,4,0.52,2264,1911
2016-09-30,M,8,0.78,2260,1902
2016-09-30,M,16,0.67,2263,1909
2016-10-03,B,-16,0.44,2279,1994
2016-10-03,B,-10,0.5,2278,1994
2016-10-03,B,-7,0.43,2279,1994
2016-10-03,B,-5,0.38,2278,1996
2016-10-03,B,-3,0.51,2276,1993
2016-10-03,B,-2,0.56,2277,1995
2016-10-03,B,-1,0.21,2276,1998
2016-10-03,B,0,0.27,2275,1998
2016-10-03,B,1,-3.12,2273,1995
2016-10-03,B,2,-0.01,2273,NA
2016-10-03,B,3,-0.08,2274,1993
2016-10-03,B,5,0.62,2271,1990
2016-10-03,B,7,0.5,2265,1983
2016-10-03,B,10,0.49,2268,1985
2016-10-03,B,16,0.44,2263,1977
2016-10-03,F,-16,0.51,2290,1992
2016-10-03,F,-4,-0.34,2290,1993
2016-10-03,F,-2,0.52,2286,1996
2016-10-03,F,-0.5,-0.36,2291,1996
2016-10-03,F,0,0.03,2290,1996
2016-10-03,F,0.5,0.54,2290,1995
2016-10-03,F,1.5,0.54,2282,1992
2016-10-03,F,4,-0.16,2289,1991
2016-10-03,F,16,-0.39,2286,1993
2016-10-03,M,-16,0.55,2282,1990
2016-10-03,M,-8,0.49,2284,1988
2016-10-03,M,-4,0.5,2282,1991
2016-10-03,M,-2,0.05,2280,1989
2016-10-03,M,-1,-0.25,2282,1990
2016-10-03,M,0,-0.29,2280,1989
2016-10-03,M,1,-0.18,2277,1983
2016-10-03,M,2,0.51,2277,1983
2016-10-03,M,4,0.43,2272,1981
2016-10-03,M,8,0.54,2271,1978
2016-10-03,M,16,0.55,2280,1981
2016-10-10,B,-16,0.32,2196,1883
2016-10-10,B,-10,0.6,2191,1875
2016-10-10,B,-7,0.25,2193,1878
2016-10-10,B,-5,0.74,2190,1870
2016-10-10,B,-3,0.78,2184,1862
2016-10-10,B,-2,0.16,2188,1870
2016-10-10,B,-1,0.03,2182,1858
2016-10-10,B,0,0.87,2181,1857
2016-10-10,B,1,0.02,2180,1848
2016-10-10,B,2,0.29,2182,1853
2016-10-10,B,3,0.88,2181,1853
2016-10-10,B,5,0.27,2182,1855
2016-10-10,B,7,0.59,2175,1839
2016-10-10,B,10,0.6,2171,1829
2016-10-10,B,16,0.22,2172,1832
2016-10-10,F,-16,0.13,2221,1954
2016-10-10,F,-4,0.29,2220,1950
2016-10-10,F,-2,-0.4,2203,1920
2016-10-10,F,-0.5,-0.28,2222,1955
2016-10-10,F,0,-0.2,2218,1952
2016-10-10,F,0.5,-0.26,2219,1950
2016-10-10,F,1.5,0.58,2214,1940
2016-10-10,F,4,-0.19,2218,1952
2016-10-10,F,16,-0.09,2201,1914
2016-10-10,M,-16,0.46,2209,1920
2016-10-10,M,-8,0.02,2205,1916
2016-10-10,M,-4,0.22,2201,1909
2016-10-10,M,-2,0.05,2202,1907
2016-10-10,M,-1,-0.13,2200,1901
2016-10-10,M,0,-0.04,2196,1895
2016-10-10,M,1,-0.02,2200,1900
2016-10-10,M,2,0.18,2201,1906
2016-10-10,M,4,-0.15,2198,1900
2016-10-10,M,8,0.42,2193,1887
2016-10-10,M,16,0.64,2195,1893
2016-10-13,B,-16,0.82,2202,1828
2016-10-13,B,-10,0.95,2190,1809
2016-10-13,B,-7,0.77,2196,1816
2016-10-13,B,-5,0.95,2193,1811
2016-10-13,B,-3,0.69,2186,1801
2016-10-13,B,-2,0.77,2192,1808
2016-10-13,B,-1,0.68,2188,1800
2016-10-13,B,0,0.6,2184,1794
2016-10-13,B,1,0.86,2183,1789
2016-10-13,B,2,0.82,2181,1788
2016-10-13,B,3,0.77,2182,1788
2016-10-13,B,5,0.99,2181,1787
2016-10-13,B,7,0.93,2161,1744
2016-10-13,B,10,0.76,2165,1749
2016-10-13,B,16,0.98,2174,1766
2016-10-13,F,-16,-0.16,2231,1904
2016-10-13,F,-4,-0.3,2227,1900
2016-10-13,F,-2,0.3,2214,1875
2016-10-13,F,-0.5,0.2,2236,1916
2016-10-13,F,0,0.42,2236,1914
2016-10-13,F,0.5,0.3,2233,1910
2016-10-13,F,1.5,0.1,2219,1880
2016-10-13,F,4,-0.1,2233,1907
2016-10-13,F,16,0.61,2209,1857
2016-10-13,M,-16,0.58,2217,1870
2016-10-13,M,-8,0.56,2213,1862
2016-10-13,M,-4,0.51,2211,1858
2016-10-13,M,-2,0.47,2209,1849
2016-10-13,M,-1,0.47,2207,1846
2016-10-13,M,0,0.66,2207,1843
2016-10-13,M,1,0.57,2209,1847
2016-10-13,M,2,0.61,2209,1850
2016-10-13,M,4,0.56,2198,1828
2016-10-13,M,8,0.79,2188,1801
2016-10-13,M,16,0.32,2210,1851
2016-10-16,B,-16,0.44,2247,1898
2016-10-16,B,-10,0.62,2242,1891
2016-10-16,B,-7,0.65,2242,1891
2016-10-16,B,-5,0.79,2241,1887
2016-10-16,B,-3,0.77,2237,1882
2016-10-16,B,-2,0.13,2238,1882
2016-10-16,B,-1,0.99,2234,1878
2016-10-16,B,0,0.48,2232,1873
2016-10-16,B,1,0.62,2227,1868
2016-10-16,B,2,1.02,2229,1870
2016-10-16,B,3,0.64,2227,1865
2016-10-16,B,5,0.02,2218,1847
2016-10-16,B,7,0.67,2213,1840
2016-10-16,B,10,1.2,2212,1837
2016-10-16,B,16,1.11,2220,1847
2016-10-16,F,-16,-0.62,2278,1969
2016-10-16,F,-4,0.63,2277,1963
2016-10-16,F,-2,-0.36,2258,1936
2016-10-16,F,-0.5,-2.17,2276,1965
2016-10-16,F,0,0.69,2281,1974
2016-10-16,F,0.5,-1.02,2280,1970
2016-10-16,F,1.5,-0.62,2270,1959
2016-10-16,F,4,0.54,2273,1959
2016-10-16,F,16,-0.21,2269,1949
2016-10-16,M,-16,0.46,2260,1928
2016-10-16,M,-8,-0.56,2260,1930
2016-10-16,M,-4,0.85,2257,1925
2016-10-16,M,-2,0.57,2255,1922
2016-10-16,M,-1,0.09,2252,1917
2016-10-16,M,0,0.07,2246,1901
2016-10-16,M,1,-0.08,2243,1894
2016-10-16,M,2,0.65,2242,1895
2016-10-16,M,4,0.93,2236,1888
2016-10-16,M,8,-0.47,2240,1891
2016-10-16,M,16,0.48,2261,1927
